Study,Year,DOI_or_ID,Source_URL,Source_Access,Source_File,Inclusion_Tier,Reliability_Tier,Mn_wt,C_wt,Al_wt,Si_wt,Cu_wt,Ni_wt,Cr_wt,Mo_wt,Nb_wt,V_wt,T_anneal_C,Time_sec,RA_fraction,RA_pct,Measurement_Method,Data_Quality,Initial_Condition,Source_Ref,Extraction_Note,ML_Ready,Row_Key
skowronek_2023_time,2023.0,10.1007/s11661-023-06998-x,https://link.springer.com/article/10.1007/s11661-023-06998-x,open_access_springer,open_access_verified_additions.csv,core_partial_composition,candidate_review,5.0,,1.6,0.0,0.0,0.0,0.0,,,,680.0,60.0,0.16,16.0,XRD,text_reported,hot-rolled martensitic strip,Results section / Figure 2 text,Al-alloyed 5Mn steel. Composition table not extracted yet; C field blank. Text reports about 16 pct RA after 1 min at 680C.,False,skowronek_2023_time|5.0|nan|1.6|0.0|680.0|60.0|0.16|xrd
skowronek_2023_time,2023.0,10.1007/s11661-023-06998-x,https://link.springer.com/article/10.1007/s11661-023-06998-x,open_access_springer,open_access_verified_additions.csv,core_partial_composition,candidate_review,5.0,,1.6,0.0,0.0,0.0,0.0,,,,680.0,900.0,0.33,33.0,XRD,text_reported,hot-rolled martensitic strip,Results section / Figure 2 text,Al-alloyed 5Mn steel. Composition table not extracted yet; C field blank. Text reports 33 pct fraction after first 15 min.,False,skowronek_2023_time|5.0|nan|1.6|0.0|680.0|900.0|0.33|xrd
skowronek_2023_time,2023.0,10.1007/s11661-023-06998-x,https://link.springer.com/article/10.1007/s11661-023-06998-x,open_access_springer,open_access_verified_additions.csv,core_partial_composition,candidate_review,5.0,,1.6,0.0,0.0,0.0,0.0,,,,680.0,18000.0,0.41,41.0,XRD,text_reported,hot-rolled martensitic strip,Results section / Figure 2 text,Al-alloyed 5Mn steel. Composition table not extracted yet; C field blank. Text indicates final fraction about 41 pct and 120-300 min nearly constant; entered at 300 min.,False,skowronek_2023_time|5.0|nan|1.6|0.0|680.0|18000.0|0.41|xrd
bhadhon_2022_starting_microstructure,2022.0,10.3390/met12020356,https://www.mdpi.com/2075-4701/12/2/356,open_access_mdpi,open_access_verified_additions.csv,candidate_approx,candidate_review,6.0,0.2,0.4,1.7,0.0,0.0,0.5,,,,675.0,60.0,0.3,30.0,XRD,text_reported_lower_bound,martensitic starting microstructure,Abstract / Results section,"Abstract says M starting microstructures achieved greater than 0.30 RA for 675C and 60-360 s. Entered as lower-bound candidate, not exact training row.",True,bhadhon_2022_starting_microstructure|6.0|0.2|0.4|1.7|675.0|60.0|0.3|xrd
bhadhon_2022_starting_microstructure,2022.0,10.3390/met12020356,https://www.mdpi.com/2075-4701/12/2/356,open_access_mdpi,open_access_verified_additions.csv,candidate_approx,candidate_review,6.0,0.2,0.4,1.7,0.0,0.0,0.5,,,,710.0,480.0,0.37,37.0,XRD,text_reported_approx,cold-rolled tempered martensite starting microstructure,Results section / Figure 5 text,CR 710C plus 480 s yielded high RA fraction about 0.37. Approximate candidate only.,True,bhadhon_2022_starting_microstructure|6.0|0.2|0.4|1.7|710.0|480.0|0.37|xrd
bhadhon_2022_starting_microstructure,2022.0,10.3390/met12020356,https://www.mdpi.com/2075-4701/12/2/356,open_access_mdpi,open_access_verified_additions.csv,candidate_approx,candidate_review,6.0,0.2,0.4,1.7,0.0,0.0,0.5,,,,710.0,600.0,0.37,37.0,XRD,text_reported_approx,cold-rolled tempered martensite starting microstructure,Results section / Figure 5 text,CR 710C plus 600 s yielded high RA fraction about 0.37. Approximate candidate only.,True,bhadhon_2022_starting_microstructure|6.0|0.2|0.4|1.7|710.0|600.0|0.37|xrd
zhang_2024_cold_rolled_auto_mmn,2024.0,10.3969/j.issn.0253-6099.2024.05.032,https://xiang.jp.kxsz.net/article/id/7722,open_abstract_chinese,open_access_verified_additions.csv,candidate_partial_composition,candidate_review,,,,,,,,,,,660.0,1800.0,0.2412,24.12,unspecified_XRD_or_microstructure,text_reported_abstract,cold-rolled automotive medium-Mn steel,Abstract,Abstract reports optimum reverse-transformation anneal at 660C for 30 min with austenite volume fraction 24.12 percent. Full PDF needed for composition and measurement method before ML use.,False,zhang_2024_cold_rolled_auto_mmn|nan|nan|nan|nan|660.0|1800.0|0.2412|unspecified_xrd_or_microstructure
wan_2025_ce_time,2025.0,10.13228/j.boyuan.issn0449-749x.20250586,https://www.chinamet.cn/article/doi/10.13228/j.boyuan.issn0449-749x.20250586,open_abstract_chinese,open_access_verified_additions.csv,candidate_partial_composition,candidate_review,,,,,,,,,,,650.0,1200.0,0.2332,23.32,XRD,text_reported_abstract,Ce-free medium-Mn automotive steel short-process IA,Abstract,Abstract reports Ce-free steel at 650C 20 min reaches peak RA volume fraction 23.32 percent. Composition not available in visible abstract.,False,wan_2025_ce_time|nan|nan|nan|nan|650.0|1200.0|0.2332|xrd
wan_2025_ce_time,2025.0,10.13228/j.boyuan.issn0449-749x.20250586,https://www.chinamet.cn/article/doi/10.13228/j.boyuan.issn0449-749x.20250586,open_abstract_chinese,open_access_verified_additions.csv,candidate_partial_composition,candidate_review,,,,,,,,,,,650.0,1200.0,0.2529,25.29,XRD,text_reported_abstract,Ce-microalloyed medium-Mn automotive steel short-process IA,Abstract,Abstract reports Ce-added steel at 650C 20 min reaches RA volume fraction 25.29 percent. Composition not available in visible abstract.,False,wan_2025_ce_time|nan|nan|nan|nan|650.0|1200.0|0.2529|xrd
zhao_2018_reverse_phase,2018.0,10.3390/ma11091633,https://www.mdpi.com/1996-1944/11/9/1633,open_access_mdpi,open_access_verified_additions.csv,candidate_approx,candidate_review,5.4,0.13,0.0,0.0,0.0,0.0,0.0,,,,650.0,1800.0,0.1048,10.48,XRD,text_reported_discrepant,930C 20min quench then reverse-phase transformation anneal,Results section / conclusion,Article text reports 10.39 pct in one paragraph and 10.48 pct later for 650C; row kept candidate until figure/table verification.,True,zhao_2018_reverse_phase|5.4|0.13|0.0|0.0|650.0|1800.0|0.1048|xrd
