Study,Year,DOI_or_ID,Source_URL,Source_Access,Source_File,Inclusion_Tier,Reliability_Tier,Mn_wt,C_wt,Al_wt,Si_wt,Cu_wt,Ni_wt,Cr_wt,Mo_wt,Nb_wt,V_wt,T_anneal_C,Time_sec,RA_fraction,RA_pct,Measurement_Method,Data_Quality,Initial_Condition,Source_Ref,Extraction_Note,ML_Ready,Row_Key
sun_2021_art,2021.0,10.13228/j.boyuan.issn0449-749x.20200558,https://www.researchgate.net/publication/350654240_Microstructure_and_properties_of_Fe-Mn-C_medium-Mn_steel_processed_by_ART-annealing,open_fulltext_researchgate,open_access_verified_additions.csv,core_exact,experimental_core_exact,4.98,0.2,0.0,0.0,0.0,0.0,0.0,,,,650.0,60.0,0.184,18.4,XRD,table,air-cooled after 750C austenitization,Table 1,Fe-5Mn-0.2C ART annealed at 650C for 1 min; table gives RA volume percent 18.4.,True,sun_2021_art|4.98|0.2|0.0|0.0|650.0|60.0|0.184|xrd
sun_2021_art,2021.0,10.13228/j.boyuan.issn0449-749x.20200558,https://www.researchgate.net/publication/350654240_Microstructure_and_properties_of_Fe-Mn-C_medium-Mn_steel_processed_by_ART-annealing,open_fulltext_researchgate,open_access_verified_additions.csv,core_exact,experimental_core_exact,4.98,0.2,0.0,0.0,0.0,0.0,0.0,,,,650.0,600.0,0.212,21.2,XRD,table,air-cooled after 750C austenitization,Table 1,Fe-5Mn-0.2C ART annealed at 650C for 10 min; table gives RA volume percent 21.2.,True,sun_2021_art|4.98|0.2|0.0|0.0|650.0|600.0|0.212|xrd
sun_2021_art,2021.0,10.13228/j.boyuan.issn0449-749x.20200558,https://www.researchgate.net/publication/350654240_Microstructure_and_properties_of_Fe-Mn-C_medium-Mn_steel_processed_by_ART-annealing,open_fulltext_researchgate,open_access_verified_additions.csv,core_exact,experimental_core_exact,4.98,0.2,0.0,0.0,0.0,0.0,0.0,,,,650.0,21600.0,0.336,33.6,XRD,table,air-cooled after 750C austenitization,Table 1,Fe-5Mn-0.2C ART annealed at 650C for 360 min; table gives RA volume percent 33.6.,True,sun_2021_art|4.98|0.2|0.0|0.0|650.0|21600.0|0.336|xrd
yan_2022_cu,2022.0,10.3390/ma15228271,https://www.mdpi.com/1996-1944/15/22/8271,open_access_mdpi,open_access_verified_additions.csv,core_exact,experimental_core_exact,6.94,0.387,3.86,0.0,3.04,0.0,0.0,,,,650.0,3600.0,0.105,10.5,EBSD,text_reported,cold-rolled then IA,Results section / Figure 4 text,3Cu650 average austenite grain size and volume fraction reported as 0.32 um and 10.5 percent.,True,yan_2022_cu|6.94|0.387|3.86|0.0|650.0|3600.0|0.105|ebsd
yan_2022_cu,2022.0,10.3390/ma15228271,https://www.mdpi.com/1996-1944/15/22/8271,open_access_mdpi,open_access_verified_additions.csv,core_exact,experimental_core_exact,6.94,0.387,3.86,0.0,3.04,0.0,0.0,,,,670.0,3600.0,0.28,28.0,EBSD,text_reported,cold-rolled then IA,Results section / Figure 4 text,3Cu670 average austenite grain size and volume fraction reported as 0.35 um and 28 percent.,True,yan_2022_cu|6.94|0.387|3.86|0.0|670.0|3600.0|0.28|ebsd
yan_2022_cu,2022.0,10.3390/ma15228271,https://www.mdpi.com/1996-1944/15/22/8271,open_access_mdpi,open_access_verified_additions.csv,core_exact,experimental_core_exact,6.94,0.387,3.86,0.0,3.04,0.0,0.0,,,,690.0,3600.0,0.44,44.0,EBSD,text_reported,cold-rolled then IA,Results section / Figure 4 text,3Cu690 austenite grain size increases to 0.39 um and volume fraction is 44 percent.,True,yan_2022_cu|6.94|0.387|3.86|0.0|690.0|3600.0|0.44|ebsd
yan_2022_cu,2022.0,10.3390/ma15228271,https://www.mdpi.com/1996-1944/15/22/8271,open_access_mdpi,open_access_verified_additions.csv,core_exact,experimental_core_exact,6.94,0.387,3.86,0.0,3.04,0.0,0.0,,,,710.0,3600.0,0.578,57.8,EBSD,text_reported,cold-rolled then IA,Results section / Figure 4 text,3Cu710 grain size and volume fraction increase to 0.47 um and 57.8 percent.,True,yan_2022_cu|6.94|0.387|3.86|0.0|710.0|3600.0|0.578|ebsd
wang_2023_hot_stamping,2023.0,10.3390/ma16020576,https://www.mdpi.com/1996-1944/16/2/576,open_access_mdpi,open_access_verified_additions.csv,core_exact,experimental_core_exact,4.6,0.18,0.0,0.23,0.0,0.0,0.0,,,,610.0,600.0,0.0401,4.01,XRD,text_reported,incomplete austenitizing plus QP-300,Figure 13 text,QP-300 is adjacent/process-control data; not pure IA. XRD retained austenite content calculated as 4.01 percent.,True,wang_2023_hot_stamping|4.6|0.18|0.0|0.23|610.0|600.0|0.0401|xrd
wang_2023_hot_stamping,2023.0,10.3390/ma16020576,https://www.mdpi.com/1996-1944/16/2/576,open_access_mdpi,open_access_verified_additions.csv,core_exact,experimental_core_exact,4.6,0.18,0.0,0.23,0.0,0.0,0.0,,,,680.0,1800.0,0.307,30.7,XRD,text_reported,intercritical annealing IA-680,Figure 13 text,IA-680 retained austenite content calculated as 30.7 percent.,True,wang_2023_hot_stamping|4.6|0.18|0.0|0.23|680.0|1800.0|0.307|xrd
wang_2023_hot_stamping,2023.0,10.3390/ma16020576,https://www.mdpi.com/1996-1944/16/2/576,open_access_mdpi,open_access_verified_additions.csv,core_exact,experimental_core_exact,4.6,0.18,0.0,0.23,0.0,0.0,0.0,,,,680.0,1800.0,0.337,33.7,XRD,text_reported,QP-300 followed by IA at 680C,Figure 13 text,QA-680 retained austenite content calculated as 33.7 percent after QP plus IA.,True,wang_2023_hot_stamping|4.6|0.18|0.0|0.23|680.0|1800.0|0.337|xrd
