Study,Year,DOI_or_ID,Source_URL,Source_Access,Source_File,Inclusion_Tier,Reliability_Tier,Mn_wt,C_wt,Al_wt,Si_wt,Cu_wt,Ni_wt,Cr_wt,Mo_wt,Nb_wt,V_wt,T_anneal_C,Time_sec,RA_fraction,RA_pct,Measurement_Method,Data_Quality,Initial_Condition,Source_Ref,Extraction_Note,ML_Ready,Row_Key
mehrabi_2024_process_map_compilation,2024.0,10.3390/ma17050993,https://www.mdpi.com/1996-1944/17/5/993,open_access_mdpi,open_access_verified_additions.csv,secondary_compiled_exact,transfer_or_secondary,5.91,0.18,0.4,1.5,0.0,0.0,0.6,,,,675.0,120.0,0.15,15.0,XRD,compiled_table,tempered martensite starting microstructure,Table 1,Secondary compilation of measured RA vol pct from literature ref [28]; primary source still needs tracing before final publication dataset.,True,mehrabi_2024_process_map_compilation|5.91|0.18|0.4|1.5|675.0|120.0|0.15|xrd
mehrabi_2024_process_map_compilation,2024.0,10.3390/ma17050993,https://www.mdpi.com/1996-1944/17/5/993,open_access_mdpi,open_access_verified_additions.csv,secondary_compiled_exact,transfer_or_secondary,5.56,0.15,1.89,1.1,0.0,0.0,0.0,,,,710.0,120.0,0.27,27.0,XRD,compiled_table,tempered martensite starting microstructure,Table 1,Secondary compilation of measured RA vol pct from literature ref [31]; Table also reports intercritical gamma 40.0 vol pct.,True,mehrabi_2024_process_map_compilation|5.56|0.15|1.89|1.1|710.0|120.0|0.27|xrd
mehrabi_2024_process_map_compilation,2024.0,10.3390/ma17050993,https://www.mdpi.com/1996-1944/17/5/993,open_access_mdpi,open_access_verified_additions.csv,secondary_compiled_exact,transfer_or_secondary,5.91,0.18,0.4,1.5,0.0,0.0,0.6,,,,710.0,120.0,0.25,25.0,XRD,compiled_table,tempered martensite starting microstructure,Table 1,Secondary compilation of measured RA vol pct from literature ref [28]; primary source still needs tracing before final publication dataset.,True,mehrabi_2024_process_map_compilation|5.91|0.18|0.4|1.5|710.0|120.0|0.25|xrd
mehrabi_2024_process_map_compilation,2024.0,10.3390/ma17050993,https://www.mdpi.com/1996-1944/17/5/993,open_access_mdpi,open_access_verified_additions.csv,secondary_compiled_exact,transfer_or_secondary,5.56,0.15,1.89,1.1,0.0,0.0,0.0,,,,665.0,120.0,0.21,21.0,XRD,compiled_table,martensitic starting microstructure,Table 1,"Secondary compilation of measured RA vol pct from literature refs [26,32]; Table also reports intercritical gamma 30.8 vol pct.",True,mehrabi_2024_process_map_compilation|5.56|0.15|1.89|1.1|665.0|120.0|0.21|xrd
mehrabi_2024_process_map_compilation,2024.0,10.3390/ma17050993,https://www.mdpi.com/1996-1944/17/5/993,open_access_mdpi,open_access_verified_additions.csv,secondary_compiled_exact,transfer_or_secondary,5.56,0.15,1.89,1.1,0.0,0.0,0.0,,,,710.0,120.0,0.31,31.0,XRD,compiled_table,martensitic starting microstructure,Table 1,"Secondary compilation of measured RA vol pct from literature refs [26,32]; Table also reports intercritical gamma 45.0 vol pct.",True,mehrabi_2024_process_map_compilation|5.56|0.15|1.89|1.1|710.0|120.0|0.31|xrd
mehrabi_2024_process_map_compilation,2024.0,10.3390/ma17050993,https://www.mdpi.com/1996-1944/17/5/993,open_access_mdpi,open_access_verified_additions.csv,secondary_compiled_exact,transfer_or_secondary,5.91,0.18,0.4,1.5,0.0,0.0,0.6,,,,675.0,120.0,0.25,25.0,XRD,compiled_table,martensitic starting microstructure,Table 1,Secondary compilation of measured RA vol pct from literature ref [28]; primary source still needs tracing before final publication dataset.,True,mehrabi_2024_process_map_compilation|5.91|0.18|0.4|1.5|675.0|120.0|0.25|xrd
mehrabi_2024_process_map_compilation,2024.0,10.3390/ma17050993,https://www.mdpi.com/1996-1944/17/5/993,open_access_mdpi,open_access_verified_additions.csv,secondary_compiled_exact,transfer_or_secondary,5.91,0.18,0.4,1.5,0.0,0.0,0.6,,,,690.0,120.0,0.33,33.0,XRD,compiled_table,martensitic starting microstructure,Table 1,Secondary compilation of measured RA vol pct from literature ref [28]; primary source still needs tracing before final publication dataset.,True,mehrabi_2024_process_map_compilation|5.91|0.18|0.4|1.5|690.0|120.0|0.33|xrd
mehrabi_2024_process_map_compilation,2024.0,10.3390/ma17050993,https://www.mdpi.com/1996-1944/17/5/993,open_access_mdpi,open_access_verified_additions.csv,secondary_compiled_exact,transfer_or_secondary,5.91,0.18,0.4,1.5,0.0,0.0,0.6,,,,710.0,120.0,0.37,37.0,XRD,compiled_table,martensitic starting microstructure,Table 1,Secondary compilation of measured RA vol pct from literature ref [28]; primary source still needs tracing before final publication dataset.,True,mehrabi_2024_process_map_compilation|5.91|0.18|0.4|1.5|710.0|120.0|0.37|xrd
grajcar_2018_ra_stability,2018.0,10.3390/app8112156,https://www.mdpi.com/2076-3417/8/11/2156,open_access_mdpi,transfer_real_ra_stability.csv,transfer_real_bainitic_hold,transfer_or_secondary,3.3,0.17,1.7,0.22,,,,0.23,0.0,,450.0,60.0,0.104,10.4,XRD,table,850-700-650-450,Table 3,3Mn steel thermomechanically processed then isothermally held at bainitic temperature; not classic IA but real RA stability data.,True,grajcar_2018_ra_stability|3.3|0.17|1.7|0.22|450.0|60.0|0.104|xrd
grajcar_2018_ra_stability,2018.0,10.3390/app8112156,https://www.mdpi.com/2076-3417/8/11/2156,open_access_mdpi,transfer_real_ra_stability.csv,transfer_real_bainitic_hold,transfer_or_secondary,3.3,0.17,1.7,0.22,,,,0.23,0.0,,450.0,300.0,0.133,13.3,XRD,table,850-700-650-450,Table 3,3Mn steel thermomechanically processed then isothermally held at bainitic temperature; not classic IA but real RA stability data.,True,grajcar_2018_ra_stability|3.3|0.17|1.7|0.22|450.0|300.0|0.133|xrd
