sample_id,t_seconds,f_RA,f_clean,f_eq,delta_G,k_jmak,n_jmak,Mn,C,Al,Si,T_celsius,Ac1,Ac3,X_Mn_aus,provenance,fidelity,is_observed
0,0.0,0.14,0.14,0.0,882.9108641249998,7.37089522346239e-44,2.0,3.93,0.23,2.01,0.51,25.0,660.181,768.2416200767519,0.0,experimental,experimental,1.0
1,0.0,0.0,0.0,0.0973926547623016,5425.861689124999,1.1506309048147957e-19,2.0,3.93,0.23,2.01,0.51,690.0,660.181,768.2416200767519,5.598672116499221,experimental,experimental,0.0
1,600.0,0.3,0.3,0.0973926547623016,5425.861689124999,1.1506309048147957e-19,2.0,3.93,0.23,2.01,0.51,690.0,660.181,768.2416200767519,5.598672116499221,experimental,experimental,1.0
2,0.0,0.0,0.0,0.4828124357406239,5785.726989125002,1.2056235620760088e-06,2.0,3.93,0.23,2.01,0.51,750.0,660.181,768.2416200767519,4.739389547745068,experimental,experimental,0.0
2,600.0,0.17,0.17,0.4828124357406239,5785.726989125002,1.2056235620760088e-06,2.0,3.93,0.23,2.01,0.51,750.0,660.181,768.2416200767519,4.739389547745068,experimental,experimental,1.0
3,0.0,0.0,0.0,0.0108731394233463,5116.588939125,3.033079923487679e-20,2.0,4.7,0.16,1.6,0.2,640.0,631.1896511583594,729.24,7.33354894094141,experimental,experimental,0.0
3,3600.0,0.0,0.0,0.0108731394233463,5116.588939125,3.033079923487679e-20,2.0,4.7,0.16,1.6,0.2,640.0,631.1896511583594,729.24,7.33354894094141,experimental,experimental,1.0
4,0.0,0.0,0.0,0.0994511598617871,5239.764039125,5.3910582944287726e-08,2.0,4.7,0.16,1.6,0.2,660.0,631.1896511583594,729.24,6.9831453163208375,experimental,experimental,0.0
4,3600.0,0.05,0.05,0.0994511598617871,5239.764039125,5.3910582944287726e-08,2.0,4.7,0.16,1.6,0.2,660.0,631.1896511583594,729.24,6.9831453163208375,experimental,experimental,1.0
5,0.0,0.0,0.0,0.2371807262740909,5362.019139124999,9.162545226685134e-20,2.0,4.7,0.16,1.6,0.2,680.0,631.1896511583594,729.24,6.500216182756123,experimental,experimental,0.0
5,3600.0,0.3,0.3,0.2371807262740909,5362.019139124999,9.162545226685134e-20,2.0,4.7,0.16,1.6,0.2,680.0,631.1896511583594,729.24,6.500216182756123,experimental,experimental,1.0
6,0.0,0.0,0.0,0.3754326325547281,5483.354239124999,1.539149779053303e-19,2.0,4.7,0.16,1.6,0.2,700.0,631.1896511583594,729.24,6.078270727133254,experimental,experimental,0.0
6,3600.0,0.4,0.4,0.3754326325547281,5483.354239124999,1.539149779053303e-19,2.0,4.7,0.16,1.6,0.2,700.0,631.1896511583594,729.24,6.078270727133254,experimental,experimental,1.0
7,0.0,0.0,0.0,0.4655776725981694,5603.769339125,1.0751050518954226e-07,2.0,4.7,0.16,1.6,0.2,720.0,631.1896511583594,729.24,5.8314531897492765,experimental,experimental,0.0
7,3600.0,0.35,0.35,0.4655776725981694,5603.769339125,1.0751050518954226e-07,2.0,4.7,0.16,1.6,0.2,720.0,631.1896511583594,729.24,5.8314531897492765,experimental,experimental,1.0
